"","Kingdom","Phylum","Class","Order","Family","Genus","Species","freqs"
"7246a0f21d1159bb26ea68ececa9eafa","d__Eukaryota","Arthropoda","Maxillopoda","Pygophora",NA,NA,NA,0.00204878758306426
"440c8397e20c2b151584503d9b7982b0","d__Eukaryota","Annelida","Polychaeta","Protodrilidae",NA,NA,NA,0.00203834751524529
"3df22bc1b7164dd169e450b60e1f1b5c","d__Eukaryota","Bryozoa","Stenolaemata","Tubuliporida",NA,NA,NA,0.00173837914972517
"d0c30f30b01b49632fc8b8ebdbcea1ad","d__Eukaryota","Dinoflagellata","Dinophyceae","Dinophyceae",NA,NA,NA,0.00171889414842229
"7ba97120035685042b69e06e3b73bf5f","d__Eukaryota","Pavlovophyceae","Pavlovophyceae","Pavlovophyceae",NA,NA,NA,0.00162449111215925
"4e97055c9a743f12fc0e1837547707cf","d__Eukaryota","MAST-1","MAST-1C","MAST-1C",NA,NA,NA,0.00160027150658346
"241915e9cbeb6d48d048145bee4e412f","d__Eukaryota","Chlorophyta","Prasinophytae","Pseudoscourfieldiales",NA,NA,NA,0.00157041505325733
"33bec0834d3822c74813c284223550e2","d__Eukaryota","T58","T58","T58",NA,NA,NA,0.00154786504385177
"3461a1fd4177436269010568e5b0fefa","d__Eukaryota","MAST-3","MAST-3J","MAST-3J",NA,NA,NA,0.00151883386816761
"55967c1cc565d53be90f886931f1a022","d__Eukaryota","Apicomplexa","Conoidasida","Coccidia",NA,NA,NA,0.0014822097469662
"8e98b648dcc4cf04c7019f16a852b49a","d__Eukaryota","Platyhelminthes","Rhabditophora","Tricladida",NA,NA,NA,0.00140945812391714
"4a79237380b99a017eec72884f9e4041","d__Eukaryota","Ochrophyta","Dictyochophyceae","Florenciellales",NA,NA,NA,0.00123042290001969
"4a452cf55caf8ebe2fced3e5019f5e2d","d__Eukaryota","Dinoflagellata","Dinoflagellata","Noctilucales",NA,NA,NA,0.00118750689181214
"20e39930163121b8dee6057119966b94","d__Eukaryota","Picozoa","Picozoa","Picozoa",NA,NA,NA,0.00118596743592874
"722ab308476331c0446daac66dfa0164","d__Eukaryota","MAST-1","MAST-1B","MAST-1B",NA,NA,NA,0.00116863367263814
"e795a9032ae6e5e1382838a2f237cf40","d__Eukaryota","Chlorophyta","Chlorodendrophyceae","Chlorodendrales",NA,NA,NA,0.0011573772836575
"679751f99f2f5d692a8014b7206feccd","d__Eukaryota","Centrohelida","Centrohelida","Centrohelida",NA,NA,NA,0.00114622799047819
"df66b7d0b17b54d4a08f8ef0335ab188","d__Eukaryota","Cryptophyceae","Cryptophyceae","Cryptophyceae",NA,NA,NA,0.00113931291890587
"b2d131b310f0f2214fdea49036d7ecac","d__Eukaryota","MAST-1","MAST-1A","MAST-1A",NA,NA,NA,0.00108341633231329
"454b5f8d8615178eedf733ef234fd2b6","d__Eukaryota","Ciliophora","Intramacronucleata","Litostomatea",NA,NA,NA,0.00104250456995253
"c99ffc2ef94f257c44bb580d0ec7e24c","d__Eukaryota","Cnidaria","Hydrozoa","Siphonophorae",NA,NA,NA,0.00103810673358883
"31084c4fcaa8cabaced25d9590c164b6","d__Eukaryota","Ochrophyta","Dictyochophyceae","Pedinellales",NA,NA,NA,0.000989640696579355
"33f06f8ce2b721f6efd2e9c32f284c53","d__Eukaryota","Lophophorata","Phoroniformea","Phoroniformea",NA,NA,NA,0.000865769473900277
"6ba76fc48cad73ffd748721c3e1a3e08","d__Eukaryota","Amoebozoa","Discosea","Dactylopodida",NA,NA,NA,0.000845594901324536
"67b3d77d76ce30c704f7ec0873994593","d__Eukaryota","Cnidaria","Scyphozoa","Coronatae",NA,NA,NA,0.000804953441885748
"cbe453ce4d3a5277d78e7a666bb9464c","d__Eukaryota","Ochrophyta","Eustigmatophyceae","Eustigmatales",NA,NA,NA,0.000785279363244552
"4f79764ef847552f11bf62b2b97607ab","d__Eukaryota","MAST-12","MAST-12A","MAST-12A",NA,NA,NA,0.000782135389232071
"683140ae18445230441bcf3230fcbf34","d__Eukaryota","Platyhelminthes","Rhabditophora","Rhabdocoela",NA,NA,NA,0.00076805355740203
"72b2b1fe5f185059e293539dc7734d7f","d__Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae",NA,NA,NA,0.00075210383244287
"9c48d44c427fcb745056741a2ef06867","d__Eukaryota","Ctenophora","Tentaculata","Platyctenida",NA,NA,NA,0.000723053916815933
"9261b2cbd0dfaee6bd06565c1cf29c41","d__Eukaryota","Ctenophora","Tentaculata","Lobata",NA,NA,NA,0.000669124553039687
"991912006d1d43a7eabdefb93ebd7f67","d__Eukaryota","Cercozoa","Phytomyxea","Phytomyxea",NA,NA,NA,0.000662783837908753
"d69364a73750a86de6b4c26e55989535","d__Eukaryota","Retaria","Acantharia","Acantharea_Group_I",NA,NA,NA,0.000648090693311594
"27fd99cc92b8c4694d70321a2de56788","d__Eukaryota","Nematozoa","Chromadorea","Monhysterida",NA,NA,NA,0.000642934148128651
"e273762469d92f16fd5685df2cd55933","d__Eukaryota","Annelida","Polychaeta","Phascolosomatiformes",NA,NA,NA,0.00062554395343086
"cfbc4d2cdd9d37e3f33c2e6a9870487d","d__Eukaryota","Compsopogonales","Compsopogonales","Compsopogonales",NA,NA,NA,0.0005908564957286
"730cda7580244d90ff7dd31a44017f48","d__Eukaryota","Scalidophora","Kinorhyncha","Cyclorhagida",NA,NA,NA,0.000528820214723243
"4b89e97431a4beac53b3a01a2243d821","d__Eukaryota","Echinodermata","Echinoidea","Echinoidea",NA,NA,NA,0.000516431116696218
"b5b9c0110cd555116ae0daf01c64327b","d__Eukaryota","Cercozoa","Cercozoa","Cercozoa",NA,NA,NA,0.000513287142683737
"9302e4272868bd9c79d567d7c53070d2","d__Eukaryota","Porifera","Homoscleromorpha","Homosclerophorida",NA,NA,NA,0.000511834144060847
"b4cb23bb122a35154b1c54980ccbb17a","d__Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae",NA,NA,NA,0.000510270304721585
"79dd5b81e2df88f6bac7f65676242f42","d__Eukaryota","Platyhelminthes","Rhabditophora","Proseriata",NA,NA,NA,0.000494309204483887
"30bc74356a596038647f4c1f8b75800f","d__Eukaryota","Platyhelminthes","Rhabditophora","Macrostomida",NA,NA,NA,0.000387912642073005
"2f4166dafd8d0d886193e3d2db01028c","d__Eukaryota","Ochrophyta","Chrysophyceae","Chrysophyceae",NA,NA,NA,0.000360994539957583
"980afc312d1c0b6ffb5ab21c1e6f4bb2","d__Eukaryota","Bryozoa","Gymnolaemata","Ctenostomatida",NA,NA,NA,0.0003451525753933
"caa55371ebb48a5c16ea42641241a446","d__Eukaryota","Amoebozoa","Discosea","Vannellida",NA,NA,NA,0.000334669181110656
"78032ef9ee4453e13492870a0141dad8","d__Eukaryota","MAST-9","MAST-9A","MAST-9A",NA,NA,NA,0.000328949573283012
"338cc32adda0e0196bf3715e679831dd","d__Eukaryota","Annelida","Polychaeta","Golfingiida",NA,NA,NA,0.000309169606809006
"04a9c93f097f1792ff4a0e3e48380fb7","d__Eukaryota","SA1-3C06","SA1-3C06","SA1-3C06",NA,NA,NA,0.000304850453017646
"43d28fe21dcc0be403ba40eb2803f008","d__Eukaryota","Protalveolata","Colpodellida","Colpodellida",NA,NA,NA,0.000298437544644051
"59e02c755ea1295a0bcc62f330877b79","d__Eukaryota","Cercozoa","Imbricatea","Imbricatea",NA,NA,NA,0.000279286376846862
"315709a4a2eda9868e73e2f92acc2f1d","d__Eukaryota","Holozoa","Choanoflagellida","Codosigidae",NA,NA,NA,0.00026632073675874
"fbf2e9da9a496369604213cde63d8239","d__Eukaryota","Cercozoa","Vampyrellidae","Vampyrellidae",NA,NA,NA,0.00025539114750435
"182fbf1f6b338bb5569ecc561e59a7c5","d__Eukaryota","Ciliophora","Postciliodesmatophora","Heterotrichea",NA,NA,NA,0.000235496567630539
"b641516a16f5cb1b883441f2bb9925e8","d__Eukaryota","Ochrophyta","Pelagophyceae","Pelagomonadales",NA,NA,NA,0.0002025760926448
"0d9041502bdfc83c20821a75f9ba27ae","d__Eukaryota","Mucoromycota","Incertae_Sedis","Mucorales",NA,NA,NA,0.000200050922052886
"84a235c01d148de5da884e616b6ab0a1","d__Eukaryota","Animalia","Animalia","Animalia",NA,NA,NA,0.000191543360628262
"a4e8441931ec549a9b18864a4f9cda6e","d__Eukaryota","Euglenozoa","Kinetoplastea","Prokinetoplastina",NA,NA,NA,0.000190913745915482
"451179b3e5a37a8671e44c2cbf243bcc","d__Eukaryota","Arthropoda","Maxillopoda","Sessilia",NA,NA,NA,0.000185694751591066
"6634c841939cb2bcedcb76c96f745d2c","d__Eukaryota","Cnidaria","Anthozoa","Zoantharia",NA,NA,NA,0.000182630207036244
"6bd85f299f89be3f5d3c0478cf50d0f6","d__Eukaryota","Holozoa","Filasterea","Ministeriida",NA,NA,NA,0.000181823878056202
"2c848841907b7bbaba359bf71ba77e5d","d__Eukaryota","Chytridiomycota","Chytridiomycetes","Rhizophydiales",NA,NA,NA,0.000157935111231443
"829e2943c9f9dfa67d8cc3bd77a0539f","d__Eukaryota","Cercozoa","Thecofilosea","Thecofilosea",NA,NA,NA,0.000154929335008865
